Java HotSpot(TM) 64-Bit Server VM (25.181-b13) for bsd-amd64 JRE (1.8.0_181-b13), built on Jul  7 2018 01:02:31 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 33554432k(317172k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2020-10-28T22:59:59.518-0800: 0.549: [GC (Allocation Failure) [PSYoungGen: 131584K->7155K(153088K)] 131584K->7171K(502784K), 0.0048091 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:51.519-0800: 52.548: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 200006K->26454K(523776K), 0.0016916 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:51.624-0800: 52.653: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 200022K->26454K(523776K), 0.0016308 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:51.728-0800: 52.757: [GC (Allocation Failure) [PSYoungGen: 173888K->352K(174080K)] 200022K->26502K(523776K), 0.0016768 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:51.834-0800: 52.863: [GC (Allocation Failure) [PSYoungGen: 173920K->320K(174080K)] 200070K->26486K(523776K), 0.0017117 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:51.941-0800: 52.970: [GC (Allocation Failure) [PSYoungGen: 173888K->352K(174080K)] 200054K->26518K(523776K), 0.0016735 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:52.048-0800: 53.077: [GC (Allocation Failure) [PSYoungGen: 173920K->320K(174080K)] 200086K->26494K(523776K), 0.0016722 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:52.149-0800: 53.178: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 200062K->26534K(523776K), 0.0016388 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:52.252-0800: 53.282: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 200102K->26550K(523776K), 0.0016762 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:52.356-0800: 53.386: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 200118K->26550K(523776K), 0.0016093 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:52.459-0800: 53.489: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 200118K->26558K(523776K), 0.0016500 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:52.564-0800: 53.593: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 200126K->26566K(523776K), 0.0017094 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:52.675-0800: 53.704: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 200134K->26590K(523776K), 0.0016927 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:52.779-0800: 53.809: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 200158K->26630K(523776K), 0.0016424 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
Heap
 PSYoungGen      total 174080K, used 71722K [0x00000007b5580000, 0x00000007c0000000, 0x00000007c0000000)
  eden space 173568K, 41% used [0x00000007b5580000,0x00000007b9b3a860,0x00000007bff00000)
  from space 512K, 62% used [0x00000007bff80000,0x00000007bffd0000,0x00000007c0000000)
  to   space 512K, 0% used [0x00000007bff00000,0x00000007bff00000,0x00000007bff80000)
 ParOldGen       total 349696K, used 26310K [0x00000007a0000000, 0x00000007b5580000, 0x00000007b5580000)
  object space 349696K, 7% used [0x00000007a0000000,0x00000007a19b1868,0x00000007b5580000)
 Metaspace       used 36859K, capacity 39310K, committed 39344K, reserved 1083392K
  class space    used 4648K, capacity 5024K, committed 5040K, reserved 1048576K
